84,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,rag,B0,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
1,rag,B1,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
2,rag,B2,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
3,rag,B3,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
4,rag,B4,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
5,rag,B5,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
6,rag,B6,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
7,rag,B7,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
8,rag,B8,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
9,rag,B9,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
10,rag,B10,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
11,rag,B11,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
12,rag,B12,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
13,rag,B13,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
14,rag,B14,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
15,rag,B15,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
16,rag,B16,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
17,rag,B17,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
18,rag,B18,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
19,rag,B19,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
20,rag,B20,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
21,rag,B21,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
22,rag,B22,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
23,rag,B23,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
24,rag,B24,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
25,rag,B25,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
26,rag,B26,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
27,rag,B27,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
28,rag,B28,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
29,rag,B29,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
30,rag,B30,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
31,rag,B31,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
32,rag,B32,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
33,rag,B33,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
34,rag,B34,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
35,rag,B35,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
36,rag,B36,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
37,rag,B37,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
38,rag,B38,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
39,rag,B39,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
40,rag,B40,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
41,rag,B41,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
42,rag,B42,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
43,rag,B43,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
44,rag,B44,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
45,rag,B45,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
46,rag,B46,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
47,rag,B47,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
48,rag,B48,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
49,rag,B49,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
50,rag,B50,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
51,rag,B51,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
52,rag,B52,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
53,rag,B53,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
54,rag,B54,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
55,rag,B55,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
56,rag,B56,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
57,rag,B57,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
58,rag,B58,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
59,rag,B59,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
60,rag,B60,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
61,rag,B61,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
62,rag,B62,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
63,rag,B63,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
64,rag,B64,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
65,rag,B65,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
66,rag,B66,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
67,rag,B67,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
68,rag,B68,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
69,rag,B69,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
70,rag,B70,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
71,rag,B71,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
72,rag,B72,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
73,rag,B73,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
74,rag,B74,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
75,rag,B75,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
76,rag,B76,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
77,rag,B77,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
78,rag,B78,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
79,rag,B79,8,-,0,NONE,0,0,0,Ragnarok Data,Opaque data from radiation experiment
